,Unnamed: 0,Id,Time,User,Content,hashtags,likes,Date
17,17,1637240553715953665,2023-03-18 23:52:21+00:00,SCMountainGoat,@elonmusk Twitter spaces are where the most productive political conversations are taking place. Both sides of the aisle sharing open dialogue. It isn’t happening anywhere else. @MarioNawfal has been putting together excellent discussions.,,727,2023-03-18
18,18,1637604508841672705,2023-03-19 23:58:34+00:00,atensnut,"Elon should ask Joey how much income tax the Biden Crime Family paid on the Millions they got from China and Ukraine. 

https://t.co/E70X9Pnk0X",,15161,2023-03-19
19,19,1637967075988631553,2023-03-20 23:59:17+00:00,alx,"Corporate media always finds a way to blame any problem in society on Elon Musk, Donald Trump, Climate Change or White Supremacy.

Don’t ask me how, those are just the rules.",,2412,2023-03-20
20,20,1638326526583410688,2023-03-21 23:47:37+00:00,arahir,idk if people picked up on this interaction bc it's an homage to smt that happens in the manga but using it here to pivot to knives distrust of rem is so so fascinating. the flower he's talking about is the one in the room where they find tesla later https://t.co/AGfujWXe6g,,881,2023-03-21
21,21,1638691968225259520,2023-03-22 23:59:45+00:00,BLKMDL3,"“EVs Aren’T GooD AT LonG TripS”
Zero issues with the @Tesla supercharger network on my road trips. @TeslaCharging is really unmatched. https://t.co/kj47V0Dytb",,972,2023-03-22
22,22,1639053079495741441,2023-03-23 23:54:40+00:00,cb_doge,"From April 1st, Twitter will begin winding down its legacy verified program &amp; remove legacy verified checkmarks. @elonmusk https://t.co/DRlsBGnFan",,16663,2023-03-23
23,23,1639415453003988993,2023-03-24 23:54:37+00:00,AmoneyResists,"Since taking over as CEO, @elonmusk has cost twitter over $13 billion (with a B) in advertising revenue, and brought in just $11 million (with an M) in subscriptions to twitter blue. Savviest businessman out there.",,1377,2023-03-24
24,24,1639776619744067597,2023-03-25 23:49:46+00:00,StockMKTNewz,"Elon Musk valued Twitter at $20 billion in employee stock grants he disclosed, down 55% from what he paid - The Information",,364,2023-03-25
25,25,1640140730436861955,2023-03-26 23:56:37+00:00,LongTimeHistory,"#wtpBLUE #DemVoice1 #Fresh

TODAY IN HISTORY

Since Elon Musk bought Twitter:

📉 Current $20B valuation is 1/2 what it was

📉 625 of top 1000 advertisers left platform entirely 

📉 Total ad revenue dropped 65%

Elon better go woke, before he goes broke!
https://t.co/IwMdEbhPo4","['wtpBLUE', 'DemVoice1', 'Fresh']",560,2023-03-26
26,26,1640503929438871552,2023-03-27 23:59:50+00:00,CSI_Starbase,"@elonmusk NGL that sounds like a bad way to go. Pretty sure I don’t have bots voting in my polls.  I think this only really matters on polls centered around political opinion, or voting on policy changes. 

Would be nice if this was a selectable option instead of universal.",,729,2023-03-27
27,27,1640866302322507776,2023-03-28 23:59:46+00:00,EvasTeslaSPlaid,Dinner under Lemon Trees in Italy 🇮🇹 https://t.co/dTmuFjZb3C,,1224,2023-03-28
28,28,1641228569639616512,2023-03-29 23:59:18+00:00,SantiagoAuFund,"@elonmusk @GRDecter Don't worry Elon.  
The world will keep using the USD for the same reason they keep using Twitter.  Yea...there are bugs, the leader is a bit of a loose cannon, and it makes a lot of people very mad.  But at the end of the day, it's the only real game in town.  ✌️",,1254,2023-03-29
29,29,1641591050660638720,2023-03-30 23:59:40+00:00,BabyDogeCEX,"Trending on  #CoinGecko

#BabyDoge 👀 https://t.co/ybSKy2Rq1v","['CoinGecko', 'BabyDoge']",504,2023-03-30
